;cod_regsaud;mape
0;42011;0.09125186515489905
0;42014;0.24388018876013648
0;42016;0.09712961598294588
0;42004;0.2551655665068757
0;42005;0.09489968910129361
0;42007;0.0654688914220612
0;42006;0.08184355592920321
0;42002;0.10511314395827448
0;42010;0.14712399437519588
0;42015;0.09982888600785239
0;42017;0.09410150297065083
0;42003;0.09610915154581826
0;42008;0.20942677491571557
0;42013;0.14261423562649272
0;42012;0.09808894947594204
0;42001;0.08766051852320701
0;42009;0.10167192441826539
0;27004;0.2534394033436722
0;13005;0.15178383418659921
0;13007;0.44920119832381855
0;29008;0.19344069180961118
0;23007;0.0803119000335972
0;23006;0.18072332974128477
0;31068;0.20569611585338954
0;31077;0.26180734856777305
0;31089;0.14145039152698072
0;31028;0.1553087842524664
0;31046;0.21208522547809194
0;31081;0.35463314552402847
0;25013;0.2538111856680891
0;22010;0.29478961868255593
0;31065;0.12502285077184874
0;31096;0.2030861438215403
0;51004;0.20260552627710832
0;51012;0.33376722531880376
0;31095;0.18566092947670057
0;31067;0.2524085550985472
0;31076;0.24907541297611602
0;31098;0.13936911497335414
0;16001;0.3578337900322518
0;16003;0.15035379155469342
0;16002;0.5581378264461061
0;53001;0.16616778067978838
0;50001;0.06453970401782522
0;50003;0.08216335032032489
0;50004;0.10761349009935293
0;50002;0.1218763629881001
0;15011;0.09463166303576197
0;15003;0.09051654877024468
0;15002;0.1145400000083541
0;15012;0.0965772403015096
0;15006;0.12634581169692696
0;15009;0.08878031645305214
0;15004;0.1340433062064076
0;15008;0.05780564827775113
0;15001;0.12006675361244425
0;15010;0.3081589269097269
0;15007;0.08349929417022478
0;41016;0.13935647765483697
0;41002;0.039781869237176484
0;41020;0.23850699241455242
0;41011;0.10206790765591885
0;41003;0.13352761980854339
0;41010;0.10228553897692819
0;41013;0.18912545472305925
0;41012;0.15424708714749552
0;41021;0.22404859882524308
0;41004;0.12611262681935578
0;41015;0.1104879354918569
0;41009;0.15452002030749806
0;41008;0.06793966118851938
0;41014;0.2525832860253282
0;41005;0.1277542541551362
0;41001;0.10800334764677942
0;41017;0.12144289863831743
0;41022;0.16361398397626584
0;41019;0.1627542006865661
0;41007;0.09023881961621062
0;41006;0.12729604377895032
0;41018;0.13488071783996713
0;43003;0.1579471729635999
0;43010;0.06951954008645944
